 ,,,,,,,,,,,
"
Clave",Nombre de la herramienta,Instrucciones,Descripción,¿Qué evalúa?,Referencias,Grupo Etario,Población específica,Tiempo aplicativo,No. de ítems,CIE-11,LS
HIT- 6,Headache Impact Test,Lea y marque la respuesta que se ajuste con lo que ha sentido en el ultimo mes,Escala para la determinación de la frecuencia y severidad de llos dolores de cabeza,Impacto del dolor de cabeza en la vida diaria,https://pmc.ncbi.nlm.nih.gov/articles/PMC3057423/ ,12 años o mas,cualquier paciente diagnosticado o con sospecha de cefaleas,≤10 minutos,6,8A80,Bienestar físico
IPAQ_S,Cuestionario Internacional de Actividad Física ,"Las preguntas se referirán aceca del tiempo que usteed utilizó siendo físicamente activo(a) en los últimos 7 días. Por favor responda cada pregunta aún si usted no se considera una persona activa. Piense en aquellas actividades que usted hace como parte del trabajo, en el jardín y en la casa, para ir de un sitio a otro, y en su tiempo libre de descanso, ejercicio o deporte.","El Cuestionario Internacional de Actividad Física (IPAQ, por sus siglas en inglés) en su versión corta (4 preguntas generales) está disponible para aplicarse
por teléfono o de forma auto administrada. El propósito del cuestionario es proveer un instrumento común que puede ser usado para obtener datos internacionalmente comparables relacionados con actividad física relacionada con salud.",Actividad física,"https://www.elsevier.es/es-revista-revista-iberoamericana-fisioterapia-kinesiologia-176-articulo-el-cuestionario-internacional-actividad-fisica--13107139, https://r2d2.kumc.edu/ADC/Protocols/IPAQ/IPAQ_scoring_protocol.pdf?utm_source=chatgpt.com",18 - 65,Adultos,7 minutos,7,QE20,Bienestar físico
IRS D-V,Inventario de recursos sociales Díaz Veiga,Marcar con una cruz ( X ) la respuesta en el espacio según la siguiente codificación,"Cuestionario que explora aspectos estructurales de las redes sociales (tamaño, y frecuencia de
contactos), funcionales (apoyo emocional e instrumental) y la satisfacción subjetiva de las relaciones.",Recursos sociales del adulto mayor,https://www.gob.mx/cms/uploads/attachment/file/813747/Guia_InstrumentosEvaluacion_2022_31oct.pdf,≥60 años,Adultos mayores,10 minutos,16,"QE0Y, QE0Z",Bienestar social 
ISI,Indice de Severidad de Insomnio,, Cuestionario que evalúa el impacto del insomnio durante el día y la noche.,Gravedad de insomnio,http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2413-44652023000100007 ,≥18 años,,≤10 minutos,7,07,Bienestar físico y mental
ITRD,Inventario Texas Revisado de Duelo,"Por favor, sitúese mentalmente en la Época en que el fallecido murió y responda a las siguientes cuestiones sobre sus sentimientos y su forma de actuar durante ese tiempo. (parte 1) Por favor, responda las siguientes frases indicando que siente en la actualidad sobre el fallecido. No consulte la primera parte. (parte 2)",,Duelo,https://www.elsevier.es/es-revista-atencion-primaria-27-articulo-inventario-texas-revisado-duelo-itrd--13074293,≥14 años,Adolescentes y adultos,≤10 minutos,21,"QE62, 6B42",Bienestar mental
LIPT 60,Escala de acoso laboral de Leymann,"A continuación hay una lista de distintas situaciones o conductas de acoso que usted
puede haber sufrido en su trabajo. Marque en cada una de ellas el grado en que la ha
experimentado.
Marque con una cruz (X):

el cero (“0”) si no ha experimentado esa conducta en absoluto
el uno (” 1”) si la ha experimentado un poco
el dos (“2”) si la ha experimentado moderada o medianamente
el tres (“3”) si la ha experimentado bastante y
el cuatro (“4”) si la ha experimentado mucho o extremadamente.",Valoración de las estrategias de acoso psicológico en el trabajo,Acoso laboral,https://www.gonzalezderivera.com/art/pdf/manual-lipt60.pdf,≥ 18 años ,Pacientes con empleo,20-30 minutos,60,XE4P2,Bienestar físico y social
MALT,Test para el diagnóstico de alcoholismo,,Prueba diseñada para el diagnóstico de dependencia alcohólica. ,Alcoholismo objetivo y subjetivo,https://www.elsevier.es/es-revista-atencion-primaria-27-articulo-validacion-del-munchner-alkoholismus-test-S0212656709001656 ,18-59 años,,30-60 minutos,30,6C40.2,Bienestar físico y mental
MBG,Martín-Bayarre-Grau,,,Adhesión al tratamiento,https://www.enfermeriaaps.com/portal/wp-content/uploads/2016/07/prevalencia-de-adherencia-terapeutica-en-pacientes-hipertensos-con-el-uso-del-cuestionario.pdf,≥18 años,Mayores de edad,≤10 minutos,12,-,Bienestar físico
MBI-HSS ,Maslach Burnout Inventory Human  Services  Survey  ,"A cada una de las siguientes frases debe responder expresando la frecuencia con que tiene ese
sentimiento, selecionando la respuesta correspondiente y  que considere más adecuada,
según la intensidad del sentimiento. La escala de valoración es la siguiente:", El cuestionario fue diseñado para evaluar el síndrome de desgaste profesional (burnout) en trabajadores de servicios humanos,Bornout,https://psicologiaysalud.uv.mx/index.php/psicysalud/article/view/681/1200,18- te,,≤10 minutos,22,,Bienestar social 
MDASI,Inventario de síntomas de MD,,,Mayor dolor,https://www.ons.org/sites/default/files/2017-06/MDA_SymptomInventory_Core_Spanish_0.pdf,≥ 18 años ,Pacientes con cáncer,≤10 minutos,19,"MG30",Bienestar físico
MGH-SFQ,Massachusetts General Hospital-Sexual Functioning Questionnaire,"Por favor, responda todas las preguntas
marcando la respuesta correcta o la
respuesta que le parece a usted más
adecuada en su caso (Considere como
“normal” el periodo de su vida, cuando estuvo
más satisfecho con su funcionamiento
sexual). El intervalo de tiempo que se explora
corresponde al último mes. ","Se trata de una escala  de 5 ítems que explora 5 áreas de funcionamiento sexual: Interés, excitación, orgasmo, erección y satisfacción global. Cada ítem se valora mediante una escala de 6 posibles respuestas, desde mayor funcionamiento de lo normal a ausencia total, que puntúan entre 1 y 6.",Funcionamiento sexual,https://www.sciencedirect.com/science/article/abs/pii/S1698031X2200005X,≥60 años,Adultos mayores,≤5 minutos,5,"VV51, HA01, HA01.Z, HA01.0Z",Bienestar mental
